"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"
"division"	0	0	0	0	0	0	0	0	1	0	0	"the"	"draw"	"to"	"between"	"DT"	"IN"	"DT"	"line"	"dobj"
"division"	0	1	0	0	0	0	0	0	0	0	0	"fine"	"a"	"walk"	"in"	"JJ"	"IN"	"VBG"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"he"	"for"	"IN"	"IN"	"PRP$"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"in"	"third"	"of"	"DT"	"IN"	"NN"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"victim"	"for"	"IN"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"supermarket"	"in"	"manners"	"to"	"NN"	"TO"	"VBG"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	","	"outside"	"of"	"DT"	"IN"	"NNS"	"line"	"xsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"sit"	"mostly"	"and"	"IN"	"CC"	"NNS"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"cafeteria"	"a"	"in"	"behind"	"NN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"gasoline"	"face"	"will"	"within"	"NN"	"IN"	"CD"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"with"	"city"	"of"	"DT"	"IN"	"NNS"	"line"	"prep_with"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"length"	"in"	"DT"	"IN"	"NN"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"place"	"a"	"have"	"IN"	"VBP"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"off"	"close"	"."	"DT"	"."	"X"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"wind"	"and"	"long"	"."	"VBG"	"."	"X"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"bulge"	"the"	"into"	"and"	"VBG"	"CC"	"VB"	"line"	"prep_into"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"straight"	"a"	"in"	"one"	"JJ"	"CD"	"NN"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"up"	"at"	"JJ"	"IN"	"NNS"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"of"	"of"	"JJ"	"IN"	"JJ"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"taxi"	"and"	"bar"	"."	"NN"	"."	"X"	"lines"	"conj_and"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"in"	"stand"	"."	"DT"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"and"	"--"	"of"	"DT"	"IN"	"JJ"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"taxi"	"serpentine"	"the"	"outside"	"NN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"observe"	"morning"	"of"	"DT"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"he"	"X"	"X"	"up"	"PRP"	"RP"	"RB"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"end"	"for"	"DT"	"IN"	"DT"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"cooking"	"the"	"on"	"would"	"NN"	"MD"	"VB"	"line"	"prep_on"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"standing"	"at"	"JJ"	"IN"	"NNS"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"of"	"warn"	"have"	"at"	"IN"	"IN"	"DT"	"lines"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"on"	"frenzy"	"imperialist"	"at"	"IN"	"IN"	"DT"	"line"	"prep_on"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"also"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"be"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"than"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"to"	"of"	"JJ"	"IN"	"JJ"	"line"	"prep_to"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"to"	"JJ"	"TO"	"VB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"get"	"to"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"straight"	"a"	"of"	","	"JJ"	","	"CD"	"line"	"prep_instead_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"new"	","	"bowl"	"form"	"JJ"	"VBN"	","	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"fast"	"the"	"pick"	"at"	"JJS"	"IN"	"DT"	"line"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"standing"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"people"	100	"than"	"up"	"NNS"	"RP"	"TO"	"lined"	"partmod"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"customer"	"at"	"JJ"	"IN"	"NN"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"be"	"of"	"JJ"	"IN"	"NNS"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"broken"	","	"clean"	"and"	"JJ"	"CC"	"VB"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"join"	","	"of"	"DT"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"around"	"of"	"JJ"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	","	50	"of"	"DT"	"IN"	"NNS"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"left"	","	"DT"	","	"DT"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"waiting"	"some"	"for"	"IN"	"IN"	"CD"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"organize"	"hour"	"of"	"DT"	"IN"	"NNS"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"after"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"soup"	"weekend"	"_s"	","	"NN"	","	"WDT"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"first"	"be"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"checkout"	"supermarket"	"in"	"."	"NN"	"."	"X"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"of"	"magic"	"of"	"DT"	"IN"	"NNS"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"average"	"to"	"IN"	"TO"	"CD"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"third"	"be"	","	"IN"	","	"NN"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	","	"recently"	"to"	"DT"	"TO"	"VB"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"long"	"stand"	"for"	"IN"	"IN"	"JJ"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"first"	"the"	","	"IN"	","	"RB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"you"	"_t"	"apply"	"IN"	"VBG"	"IN"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"checkout"	"in"	"cashier"	","	"NN"	","	"DT"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"checkout"	"the"	"of"	"and"	"NN"	"CC"	"VB"	"lines"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"think"	"i"	"at"	"DT"	"IN"	"DT"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"siege"	"police"	"through"	"to"	"NN"	"TO"	"VB"	"lines"	"prep_through"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"be"	"at"	"JJ"	"IN"	"DT"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"must"	"for"	"IN"	"IN"	"VBN"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"X"	"X"	"X"	"spill"	"X"	"VBD"	"RP"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"welfare"	"the"	"on"	","	"NN"	","	"``"	"line"	"prep_on"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"shopper"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"shorten"	"will"	"inside"	"DT"	"IN"	"DT"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"where"	"know"	"start"	"DT"	"VBZ"	"CC"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"them"	"for"	"IN"	"IN"	"RB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"receive"	"a"	"of"	"."	"VBG"	"."	"X"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"delicatessen"	"a"	"in"	"."	"JJ"	"."	"``"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"of"	"head"	"as"	"DT"	"IN"	"IN"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"form"	"and"	"bus"	"on"	"NN"	"IN"	"DT"	"lines"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"JJ"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"wait"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"wait"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	","	"lot"	"in"	"JJ"	"IN"	"NNS"	"lines"	"nsubjpass"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"and"	","	"have"	"DT"	"VBZ"	"VBN"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"into"	"shuffle"	"at"	"DT"	"IN"	"DT"	"line"	"prep_into"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"edmonton"	"the"	"about"	"until"	"NN"	"IN"	"PRP"	"line"	"prep_about"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"and"	"--"	"will"	"DT"	"MD"	"VB"	"line"	"xsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"place"	"his"	"at"	"IN"	"IN"	"NN"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"must"	20	"IN"	"CD"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"cuban"	"for"	"IN"	"IN"	"JJR"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"be"	"of"	"JJ"	"IN"	"NN"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"get"	","	","	"IN"	","	"IN"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"into"	"run"	"of"	"DT"	"IN"	"NNS"	"line"	"prep_into"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"him"	"place"	"to"	"IN"	"TO"	"VB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"planet"	"the"	","	"IN"	","	"``"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"stamp"	"food"	"the"	"."	"NN"	"."	"."	"line"	"prep_at"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"of"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"to"	"back"	"and"	"JJ"	"CC"	"JJ"	"lines"	"prep_to"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"serve"	"of"	"JJ"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	","	"day"	"each"	"of"	","	"IN"	"PRP"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"over"	"out"	"of"	"DT"	"IN"	"JJ"	"line"	"prep_over"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"no"	"be"	"there"	"of"	"DT"	"IN"	"JJ"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"in"	"space"	"."	"DT"	"."	"``"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"someone"	"of"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"that"	"in"	"stand"	"i"	"DT"	"PRP"	"VBP"	"line"	"pobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"echo"	"of"	"JJ"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"be"	"of"	"JJ"	"IN"	"JJ"	"line"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"of"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"in"	"group"	"or"	"DT"	"CC"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"single"	"a"	"insert"	"of"	"JJ"	"IN"	"NNS"	"line"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"wait"	","	"JJ"	","	"VBG"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"be"	"there"	"of"	"JJ"	"IN"	"NNS"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"though"	"even"	"quota"	"of"	"IN"	"IN"	"VBN"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	":"	"personally"	","	"JJR"	","	"JJR"	"lines"	"dep"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"X"	"X"	"part"	"DT"	"VBD"	","	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"some"	"thin"	"DT"	"VBN"	"IN"	"lines"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"no"	"``"	"."	"JJ"	"."	"X"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"marimba"	"gallop"	"the"	"do"	"NN"	"VBD"	"VB"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"and"	","	"shopkeeper"	"stream"	"CC"	"VBG"	"IN"	"lines"	"conj_and"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"no"	"be"	"there"	"at"	"DT"	"IN"	"NNS"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"of"	"sick"	"at"	"JJ"	"IN"	"DT"	"lines"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"would"	"to"	"IN"	"TO"	"VB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"manila"	"in"	"of"	"DT"	"IN"	"NNS"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"and"	"to"	"JJ"	"TO"	"VB"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"turn"	"her"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"make"	"law"	"the"	"cutting"	"VBZ"	"NN"	","	"line"	"nn"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"into"	"cut"	"actually"	"but"	"IN"	"CC"	"VBD"	"line"	"prep_into"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"``"	"X"	"they"	"DT"	"PRP"	"VBD"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"of"	"number"	"the"	"-"	"IN"	":"	"VBG"	"line"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"avoid"	"be"	","	"JJ"	","	"JJ"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"of"	"famous"	"of"	"DT"	"IN"	"JJ"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"on"	"stand"	"be"	"to"	"IN"	"TO"	"VB"	"line"	"prep_on"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"seniority"	"the"	"down"	"eye"	"NN"	"VBG"	"DT"	"line"	"prep_down"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"JJ"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"X"	"X"	"form"	"JJ"	"VBP"	"JJ"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"and"	"production"	"for"	"JJ"	"IN"	"JJ"	"lines"	"conj_and"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"weak"	"a"	"behind"	","	"JJ"	","	"JJ"	"line"	"prep_behind"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"in"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"X"	"X"	"would"	"DT"	"MD"	"VB"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"chronological"	"straight"	"a"	"."	"JJ"	"."	"X"	"line"	"prep_into"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"coffee"	"the"	"in"	"or"	"NN"	"CC"	"DT"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"wait"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"teller"	"shorten"	"of"	","	"NN"	","	"JJ"	"lines"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"checkout"	"form"	"they"	"that"	"NN"	"WDT"	"VBP"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"have"	"may"	","	"JJ"	","	"NN"	"lines"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"when"	","	"of"	"JJ"	"IN"	"NNS"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"patiently"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"but"	"delay"	"JJ"	"VBD"	"DT"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"spot"	"its"	"for"	"IN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"institution"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"slow"	"include"	"which"	"at"	"JJ"	"IN"	"VBG"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"food"	"of"	"city"	"."	"NN"	"."	"X"	"lines"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"checkout"	"grocery"	"in"	"."	"NN"	"."	"``"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"first"	"be"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"strengthen"	"to"	"weather"	"around"	"VB"	"IN"	"NNS"	"lines"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"X"	","	"JJ"	","	"RB"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"customer"	"by"	"."	"IN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"and"	"resident"	"of"	"DT"	"IN"	"NNS"	"line"	"conj_and"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"on"	"everybody"	"revive"	"like"	"IN"	"IN"	"DT"	"line"	"prep_on"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"by"	"of"	"JJ"	"IN"	"NNS"	"line"	"agent"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"three"	"along"	"trap"	":"	"CD"	":"	"DT"	"lines"	"prep_along"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"in"	"be"	"of"	"DT"	"IN"	"CD"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"to"	"to"	"IN"	"TO"	"VB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	1	"top"	"the"	"on"	"of"	"JJ"	"IN"	"NNS"	"line"	"prep_on"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"at"	"stand"	"of"	"DT"	"IN"	"NNS"	"line"	"prep_at"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"while"	","	"of"	"DT"	"IN"	"VBG"	"line"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"they"	"at"	"IN"	"IN"	"NNS"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"and"	"customer"	"extravagant"	"of"	"CC"	"IN"	"VBG"	"line"	"conj_and"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"the"	"not"	"at"	"JJ"	"IN"	"DT"	"line"	"dep"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	","	"for"	"IN"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"stand"	"outside"	"JJ"	"IN"	"DT"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"party"	"gay"	"the"	","	"NN"	","	"``"	"line"	"ccomp"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"chow"	"two"	"X"	","	"NN"	","	"``"	"lines"	"nsubj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"stand"	"for"	"JJ"	"IN"	"PRP"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"hamburger"	"the"	"in"	"."	"NN"	"."	"X"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"guest"	"for"	"IN"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"a"	"in"	"late"	"of"	"DT"	"IN"	"JJ"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"reception"	"three-hour"	"a"	"at"	"NN"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"production"	"the"	"off"	","	"NN"	","	"IN"	"line"	"prep_off"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"join"	"without"	"JJ"	"IN"	"DT"	"line"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"wait"	"while"	"at"	"IN"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"120-car"	"the"	"of"	"monitor"	"JJ"	"VBN"	"IN"	"line"	"xsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"stand"	"to"	","	"IN"	","	"``"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	","	"luggage"	"and"	"JJ"	"CC"	"JJ"	"lines"	"conj_and"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"of"	"of"	"JJ"	"IN"	"JJ"	"line"	"prep_of"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"but"	","	"to"	"DT"	"TO"	"VB"	"lines"	"nsubj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"express"	"the"	"in"	"with"	"JJ"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"single"	"a"	"in"	"to"	"JJ"	"TO"	"VB"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"in"	"first"	"be"	"for"	"IN"	"IN"	"NNS"	"line"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"slow"	"a"	"in"	"at"	"JJ"	"IN"	"DT"	"line"	"prep_in"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"in"	"huddle"	"to"	"JJ"	"TO"	"VB"	"lines"	"prep_in"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"these"	"see"	"we"	"at"	"DT"	"IN"	"NN"	"lines"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"of"	"complaining"	","	"JJ"	","	"DT"	"lines"	"prep_of"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"two"	"between"	"of"	"JJ"	"IN"	"NN"	"lines"	"prep_between"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"read"	"of"	"JJ"	"IN"	"NN"	"line"	"dobj"
"formation"	0	0	1	0	0	0	0	0	0	0	0	"long"	"endure"	"passenger"	"for"	"JJ"	"IN"	"NNS"	"lines"	"dobj"
"formation"	0	0	0	0	0	0	0	0	0	0	0	"the"	"``"	":"	"for"	"DT"	"IN"	"VBG"	"line"	"nsubj"
